id_plan,id_usuario,tipo,plan_duracion,instructions,objectivo
5e91d1d7-7a6d-45c5-bf45-af03bdc65f63,6073dae1-6fca-4a30-bb61-81c1739ad30a,disminuir stress,1.1,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
9486001c-d371-4452-863e-13f6b2b4cd18,634264b8-26d7-4cd7-bce6-541b3992faf5,bajar de peso,1.37,"Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis. Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
ae8ad1f2-6948-4834-a3e8-7d67f3a2d137,91971f49-2484-4442-8901-fb3100a8398f,otro,1.4,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
ad24d4a2-6d6a-4fdf-86ec-f76929fdeb10,0075f59b-4ec7-49be-9ab7-75e3edf0a5f5,bajar de peso,1.85,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
45d226cb-97e2-468d-b960-ec20370809f9,dab0b8a3-0fd7-4995-8989-cb3704574b7a,disminuir stress,0.82,"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
6d2e59c2-d835-4d09-afd5-9c09b3828f9c,60e15872-eddb-4109-a31c-74176991236f,disminuir stress,0.54,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
3daa65e4-958b-4eb2-8974-52973b14d76c,b54cc38b-9916-4b9a-902f-3234030e5ad6,media-maraton,1.74,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
a862dc28-bd36-4575-a687-839c8bf9fb99,bc1cb69e-5aa0-496c-ac11-368c2249ffd7,condicionamiento,0.51,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
03469e27-a2dd-4368-99a3-f96625f35dcd,6b063767-94ad-4b59-b985-61aae1571918,triatlon,1.98,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
cd4d63b1-f532-45d1-a117-e828eebad63b,35d25e54-e08b-4753-8be3-621cf534e269,bajar de peso,1.12,"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
8786b492-1eb5-455e-ab37-26945e2bdc04,662d8bde-cd9f-4176-a02b-fb8ce2e55b15,condicionamiento,1.06,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo sollicitudin ut suscipit a feugiat et eros.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
dc1862f2-debb-4d6b-970b-94e845de677d,a3563d25-09b5-4fa5-b77a-68277c9b6d6d,maraton,0.84,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
1ef99c15-2172-4791-bb52-2b132ee2cf18,fd4dc821-9ee9-4eff-a1cf-48f072706b05,triatlon,1.16,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis.

Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.","Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
ca99d08e-7783-466f-a24e-3207935fc6c1,873e81cb-aed7-4698-8ea7-a8053f3c1772,hiit,1.84,"Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
56eca8aa-8e96-43f5-a99f-1e5bdf5abf8f,ca4ae7a3-a2f8-45e2-b47f-4af69d7f95c1,media-maraton,0.78,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
0130b901-c4b4-4774-9dd2-d09e5f88d9d5,723797b8-3ff5-4fcd-8b3e-8e78f944ea8d,media-maraton,1.45,"Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
8e531254-3f29-4ecd-be73-ab61208af25f,6289e124-b872-4e3b-aea8-6f89ffd3738f,triatlon,1.47,"Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante. Nulla justo.","In congue. Etiam justo. Etiam pretium iaculis justo."
341b5fbd-b0b7-4e47-85c4-fd1ea3656dc3,bf4dc7fc-2999-47cb-b7be-c7855fab5783,triatlon,1.21,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.","Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
b112c148-da95-4d21-ba42-7ddf77409e10,b93c0565-f000-4642-86d5-9ea61a171884,maraton,1.95,"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.","Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
7e4a404b-8627-4993-bfde-71bdd1745e33,da68ed5b-ccb0-4183-ae83-ba48571dc586,hiit,1.59,"Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.","Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque."
1a257404-2741-4d5b-aae3-90f1e49b0471,7d1ce0b2-8c42-4e11-af92-864c6358d2ae,bajar de peso,1.86,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
296f1010-fd8b-4feb-a7dc-64d429099a65,66a5a084-68cb-47cb-8d23-4b689e432e01,hiit,0.66,"Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
d3c2f38b-249f-40c1-8230-d0ee763aa16e,ccbe9b91-4ac6-42bb-87f0-18bc8c5b87cb,disminuir stress,1.55,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus aliquet at feugiat non pretium quis lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.","Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
b206f2a3-5ddd-47a3-8884-c56d41266413,3c807db0-9c4c-4a4a-b1c1-00df83931a46,disminuir stress,1.88,"Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
147cd3b7-c8c6-4b6d-8203-712dacfe22b6,fc2ab0ae-b2f6-452d-9de7-af7a739e52e2,triatlon,0.64,"Fusce consequat. Nulla nisl. Nunc nisl.","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
0c384ba2-f2c6-4ca0-bf0a-6bac6a4bbbfa,972b0a11-6186-4361-9605-d49a9bbb3735,disminuir stress,0.71,"Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
bd1a59f8-8928-4e7b-be89-7b8a8346cfde,43a2a39e-fdfe-4624-85cd-2912e7d56164,disminuir stress,1.46,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus auctor sed tristique in tempus sit amet sem.

Fusce consequat. Nulla nisl. Nunc nisl.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
952079f9-5b2e-4fe8-a3a0-302fd7ced8fe,b40059cd-3598-400d-b8bc-00cb7e0b4c4b,disminuir stress,1.87,"Vestibulum quam sapien varius ut blandit non interdum in ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
2c829d9d-fe05-41cb-84cb-f634db3e50f3,4b2a038a-ab76-4441-b2b8-8c47bc008d46,maraton,1.35,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
1e2d7203-4d5d-4bcd-8692-56fe354b321f,5829732b-93f5-473f-bfb3-0961179a333a,otro,0.76,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo lacinia eget tincidunt eget tempus vel pede.","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi."
5e91d1d7-7a6d-45c5-bf45-af03bdc65f63,1e7a6537-5e7e-41a0-87ac-6fa270eea1c2,hiit,1.06,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
9486001c-d371-4452-863e-13f6b2b4cd18,78744eee-5125-4891-b89d-cb00a0e78162,bajar de peso,0.78,"Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.","Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
ae8ad1f2-6948-4834-a3e8-7d67f3a2d137,2d1491b7-9917-46b0-ad08-08366fa841d4,triatlon,0.64,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo sollicitudin ut suscipit a feugiat et eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
ad24d4a2-6d6a-4fdf-86ec-f76929fdeb10,4a8b88a5-13a4-45ba-9b14-71f1160b28b1,maraton,1.84,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh.","Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
45d226cb-97e2-468d-b960-ec20370809f9,5462ea4d-35d4-4fc9-8e1f-db0a108fa112,media-maraton,0.76,"Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
6d2e59c2-d835-4d09-afd5-9c09b3828f9c,e7952647-cfd7-4b3a-b371-7bf90ca24bc2,triatlon,0.87,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
3daa65e4-958b-4eb2-8974-52973b14d76c,903f4876-d8a7-4b7b-a420-3404644c4e88,maraton,1.28,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
a862dc28-bd36-4575-a687-839c8bf9fb99,95282b3b-ceb4-4ab6-89f7-46a5f881bd36,media-maraton,1.27,"Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim. Lorem ipsum dolor sit amet consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
03469e27-a2dd-4368-99a3-f96625f35dcd,07765402-82ab-48bf-b1cb-313204d8abfb,condicionamiento,1.64,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis.","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
cd4d63b1-f532-45d1-a117-e828eebad63b,81009408-cdf4-4afb-9153-0f520761fe9e,media-maraton,0.82,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
8786b492-1eb5-455e-ab37-26945e2bdc04,bcf0c6dc-ed06-431e-9f79-80e39d0d0b7d,otro,1.38,"Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.","Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
dc1862f2-debb-4d6b-970b-94e845de677d,d19085a8-7eb0-4e74-9ec2-53c739f11beb,media-maraton,0.95,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.","Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
1ef99c15-2172-4791-bb52-2b132ee2cf18,f260c35c-ca93-4e35-b234-f418a7e2b76b,maraton,1.88,"Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
ca99d08e-7783-466f-a24e-3207935fc6c1,3f2be073-fc53-4c7f-8c58-8bfbca8435e2,otro,1.01,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
56eca8aa-8e96-43f5-a99f-1e5bdf5abf8f,800fa15a-57c7-4cad-be73-c40428f57a2d,disminuir stress,1.79,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.","Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
